gene_callers_id	source	accession	function	e_value
79	Prokka:Prodigal	radA	DNA repair protein RadA	0
80	Prokka:Prodigal	rpsR	30S ribosomal protein S18	0
81	Prokka:Prodigal			0
82	Prokka:Aragorn		tRNA-Asp(gtc)	0
83	Prokka:Aragorn		tRNA-Glu(ttc)	0
84	Prokka:Prodigal	mnmE	tRNA modification GTPase MnmE	0
85	Prokka:Prodigal	mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	0
86	Prokka:Prodigal	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	0
87	Prokka:Prodigal			0
88	Prokka:Prodigal			0
89	Prokka:Prodigal	dnaJ	Chaperone protein DnaJ	0
90	Prokka:Prodigal	dnaK	Chaperone protein DnaK	0
91	Prokka:Prodigal	grpE	Protein GrpE	0
92	Prokka:Prodigal	aroG	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive	0
93	Prokka:Prodigal	mnmA	tRNA-specific 2-thiouridylase MnmA	0
94	Prokka:Prodigal			0
95	Prokka:Prodigal	dapB	4-hydroxy-tetrahydrodipicolinate reductase	0
96	Prokka:Prodigal	aroE	Shikimate dehydrogenase (NADP(+))	0
97	Prokka:Prodigal	aroQ	3-dehydroquinate dehydratase	0
98	Prokka:Prodigal			0
99	Prokka:Prodigal	rpmA	50S ribosomal protein L27	0
100	Prokka:Prodigal			0
101	Prokka:Prodigal	rsmH	Ribosomal RNA small subunit methyltransferase H	0
102	Prokka:Aragorn		tRNA-Ala(tgc)	0
103	Prokka:barrnap		23S ribosomal RNA	0
104	Prokka:Aragorn		tRNA-Ile(gat)	0
105	Prokka:barrnap		16S ribosomal RNA	0
106	Prokka:Prodigal			0
107	Prokka:Prodigal	rplD	50S ribosomal protein L4	0
108	Prokka:Prodigal			0
109	Prokka:Prodigal	rplB	50S ribosomal protein L2	0
110	Prokka:Prodigal	rpsS	30S ribosomal protein S19	0
111	Prokka:Prodigal			0
112	Prokka:Prodigal	rpsC	30S ribosomal protein S3	0
113	Prokka:Prodigal	rplP	50S ribosomal protein L16	0
114	Prokka:Prodigal	rplN	50S ribosomal protein L14	0
115	Prokka:Prodigal	rplE	50S ribosomal protein L5	0
116	Prokka:Prodigal	rpsN	30S ribosomal protein S14	0
117	Prokka:Prodigal			0
118	Prokka:Prodigal	rplF	50S ribosomal protein L6	0
119	Prokka:Prodigal			0
120	Prokka:Prodigal	rpsE	30S ribosomal protein S5	0
121	Prokka:Prodigal	rplO	50S ribosomal protein L15	0
122	Prokka:Prodigal	infA	Translation initiation factor IF-1	0
123	Prokka:Prodigal	rpmJ	50S ribosomal protein L36	0
124	Prokka:Prodigal	rpsM	30S ribosomal protein S13	0
125	Prokka:Prodigal	rpsK	30S ribosomal protein S11	0
126	Prokka:Prodigal			0
127	Prokka:Prodigal	rpoA	DNA-directed RNA polymerase subunit alpha	0
128	Prokka:Prodigal			0
129	Prokka:Prodigal	lysA	Diaminopimelate decarboxylase	0
130	Prokka:Prodigal			0
131	Prokka:Aragorn		tRNA-Met(cat)	0
132	Prokka:Aragorn		tRNA-Tyr(gta)	0
133	Prokka:Aragorn		tRNA-Gly(tcc)	0
